,smp
2021/02/26 1:00,81.31
2021/02/26 2:00,81.31
2021/02/26 3:00,80.06
2021/02/26 4:00,79.97
2021/02/26 5:00,80.06
2021/02/26 6:00,80.06
2021/02/26 7:00,82.12
2021/02/26 8:00,82.12
2021/02/26 9:00,82.12
2021/02/26 10:00,82.12
2021/02/26 11:00,82.12
2021/02/26 12:00,81.98
2021/02/26 13:00,74.72
2021/02/26 14:00,75.63
2021/02/26 15:00,80.59
2021/02/26 16:00,80.59
2021/02/26 17:00,80.59
2021/02/26 18:00,80.59
2021/02/26 19:00,82.23
2021/02/26 20:00,82.23
2021/02/26 21:00,82.23
2021/02/26 22:00,82.23
2021/02/26 23:00,82.23
2021/02/27 0:00,82.23
2021/02/27 1:00,80.75
2021/02/27 2:00,80.75
2021/02/27 3:00,80.75
2021/02/27 4:00,80.75
2021/02/27 5:00,80.75
2021/02/27 6:00,80.75
2021/02/27 7:00,80.75
2021/02/27 8:00,115.19
2021/02/27 9:00,80.75
2021/02/27 10:00,79.98
2021/02/27 11:00,79.98
2021/02/27 12:00,79.89
2021/02/27 13:00,70.51
2021/02/27 14:00,70.45
2021/02/27 15:00,68.87
2021/02/27 16:00,80.22
2021/02/27 17:00,83.15
2021/02/27 18:00,104.26
2021/02/27 19:00,196.1
2021/02/27 20:00,202.12
2021/02/27 21:00,199.54
2021/02/27 22:00,124.32
2021/02/27 23:00,106.4
2021/02/28 0:00,196.61
2021/02/28 1:00,102.29
2021/02/28 2:00,80.98
2021/02/28 3:00,80.98
2021/02/28 4:00,80.66
2021/02/28 5:00,80.98
2021/02/28 6:00,100.01
2021/02/28 7:00,103.15
2021/02/28 8:00,104.44
2021/02/28 9:00,102.29
2021/02/28 10:00,80.84
2021/02/28 11:00,80.84
2021/02/28 12:00,78.56
2021/02/28 13:00,65.54
2021/02/28 14:00,65.54
2021/02/28 15:00,80.66
2021/02/28 16:00,78.82
2021/02/28 17:00,101.53
2021/02/28 18:00,105.82
2021/02/28 19:00,200.9
2021/02/28 20:00,203.65
2021/02/28 21:00,134.59
2021/02/28 22:00,101.67
2021/02/28 23:00,136.38
2021/03/01 0:00,105.67
2021/03/01 1:00,89.32
2021/03/01 2:00,109.34
2021/03/01 3:00,88.1
2021/03/01 4:00,87.34
2021/03/01 5:00,89.32
2021/03/01 6:00,89.32
2021/03/01 7:00,117.5
2021/03/01 8:00,121.58
2021/03/01 9:00,120.95
2021/03/01 10:00,89.16
2021/03/01 11:00,89.16
2021/03/01 12:00,89
2021/03/01 13:00,84.65
2021/03/01 14:00,89
2021/03/01 15:00,112.55
2021/03/01 16:00,89
2021/03/01 17:00,117.26
2021/03/01 18:00,117.88
2021/03/01 19:00,119.92
2021/03/01 20:00,153.49
2021/03/01 21:00,117.57
2021/03/01 22:00,117.26
2021/03/01 23:00,114.12
2021/03/02 0:00,112.08
2021/03/02 1:00,109.08
2021/03/02 2:00,88.28
2021/03/02 3:00,87.6
2021/03/02 4:00,86.92
2021/03/02 5:00,89.09
2021/03/02 6:00,88.93
2021/03/02 7:00,88.93
2021/03/02 8:00,89.09
2021/03/02 9:00,89.09
2021/03/02 10:00,89.09
2021/03/02 11:00,89.09
2021/03/02 12:00,88.93
2021/03/02 13:00,83.19
2021/03/02 14:00,84.38
2021/03/02 15:00,88.04
2021/03/02 16:00,88.04
2021/03/02 17:00,88.92
2021/03/02 18:00,88.92
2021/03/02 19:00,113.43
2021/03/02 20:00,113.9
2021/03/02 21:00,147.96
2021/03/02 22:00,114.22
2021/03/02 23:00,157.65
2021/03/03 0:00,210.3
2021/03/03 1:00,128.47
2021/03/03 2:00,147.3
2021/03/03 3:00,138.53
2021/03/03 4:00,138.15
2021/03/03 5:00,138.15
2021/03/03 6:00,112.94
2021/03/03 7:00,140.2
2021/03/03 8:00,112.47
2021/03/03 9:00,111.37
2021/03/03 10:00,111.53
2021/03/03 11:00,88.43
2021/03/03 12:00,88.27
2021/03/03 13:00,88.27
2021/03/03 14:00,88.27
2021/03/03 15:00,88.27
2021/03/03 16:00,106.37
2021/03/03 17:00,113.9
2021/03/03 18:00,186.57
2021/03/03 19:00,209.19
2021/03/03 20:00,208.83
2021/03/03 21:00,206.68
2021/03/03 22:00,187.74
2021/03/03 23:00,197.35
2021/03/04 0:00,190.14
2021/03/04 1:00,135.18
2021/03/04 2:00,112.69
2021/03/04 3:00,112.84
2021/03/04 4:00,112.84
2021/03/04 5:00,110.65
2021/03/04 6:00,112.37
2021/03/04 7:00,109.71
2021/03/04 8:00,113
2021/03/04 9:00,110.34
2021/03/04 10:00,211.18
2021/03/04 11:00,206.88
2021/03/04 12:00,198.99
2021/03/04 13:00,138.81
2021/03/04 14:00,183.53
2021/03/04 15:00,182.02
2021/03/04 16:00,195.07
2021/03/04 17:00,195.07
2021/03/04 18:00,203.71
2021/03/04 19:00,208.37
2021/03/04 20:00,204.07
2021/03/04 21:00,194.59
2021/03/04 22:00,136.01
2021/03/04 23:00,185.94
2021/03/05 0:00,193.15